geoid,threshold,tot_jobs
530330016002020,30,16410
530330016002021,30,17296
530330016002022,30,30179
530330016002023,30,17315
530330016002024,30,16323
530330016003000,30,29269
530330016003001,30,28897
530330016003002,30,34698
530330016003003,30,52802
530330016003004,30,39627
530330016003005,30,45387
530330016003006,30,30966
530330016003007,30,39619
530330016003008,30,44881
530330016003009,30,19107
530330016003010,30,28561
530330016003011,30,27962
530330016003012,30,48721
530330016003013,30,22394
530330016003014,30,23573
530330016003015,30,48748
530330016003016,30,28917
530330016003017,30,31229
530330016003018,30,35412
530330017011000,30,24506
530330017011001,30,31254
530330017011002,30,35658
530330017011003,30,38639
530330017011004,30,28316
530330017011005,30,29636
530330017011006,30,27813
530330017011007,30,24911
530330017011008,30,24853
530330017011009,30,28785
530330017011010,30,27154
530330017011011,30,25582
530330017011012,30,26529
530330017011013,30,26718
530330017011014,30,28354
530330017011015,30,32789
530330017011016,30,35522
530330017011017,30,29620
530330017012000,30,21636
530330017012001,30,18960
530330017012002,30,19242
530330017012003,30,18483
530330017012004,30,25703
530330017012005,30,27075
530330017012006,30,22202
530330017012007,30,23220
530330017012008,30,18269
530330017012009,30,23262
530330017012010,30,26258
530330017012011,30,32188
530330017012012,30,32644
530330017012013,30,26405
530330017012014,30,28033
530330017012015,30,31289
530330017012016,30,17834
530330017013000,30,29391
530330017013001,30,27261
530330017013002,30,28729
530330017013003,30,28346
530330017013004,30,25811
530330017013005,30,27812
530330017013006,30,23510
530330017013007,30,22818
530330017013008,30,23433
530330017013009,30,22914
530330017013010,30,22135
530330017013011,30,23581
530330017013012,30,23810
530330017013013,30,22830
530330017013014,30,23285
530330017013015,30,21628
530330017013016,30,20099
530330017013017,30,19820
530330017013018,30,22073
530330017013019,30,26928
530330017013020,30,31238
530330017021000,30,32879
530330017021001,30,28564
530330017021002,30,25616
530330017021003,30,26411
530330017021004,30,25187
530330017021005,30,22635
530330017021006,30,23414
530330017021007,30,22915
530330017021008,30,23532
530330017021009,30,20973
530330017021010,30,20457
530330017021011,30,18107
530330017021012,30,17200
530330017021013,30,17871
530330017021014,30,26040
530330017021015,30,23549
530330017021016,30,23549
530330017021017,30,21295
530330017021018,30,20676
530330017022000,30,38417
530330017022001,30,51400
530330017022002,30,34331
530330017022003,30,21169
530330017022004,30,27197
530330017022005,30,26538
530330017022006,30,33418
530330017022007,30,33581
530330017022008,30,35773
530330017022009,30,41647
530330017022010,30,29957
530330017022011,30,34884
530330017022012,30,34045
530330017022013,30,36642
530330017022014,30,34041
530330017022015,30,48968
530330017022016,30,40277
530330017023000,30,28866
530330017023001,30,28453
530330017023002,30,34515
530330017023003,30,30161
530330017023004,30,25988
530330017023005,30,26729
530330017023006,30,33961
530330017023007,30,29495
530330017023008,30,26485
530330017023009,30,33427
530330017023010,30,38841
530330017023011,30,29151
530330017023012,30,33332
530330017023013,30,28410
530330017024000,30,29343
530330017024001,30,25811
530330017024002,30,22658
530330017024003,30,24265
530330017024004,30,22018
530330017024005,30,21582
530330017024006,30,21583
530330017024007,30,22406
530330017024008,30,25183
530330017024009,30,31848
530330017024010,30,17981
530330017024011,30,18910
530330017024012,30,21277
530330017024013,30,22755
530330017024014,30,25742
530330017024015,30,23502
530330017024016,30,22875
530330017024017,30,20676
530330018001000,30,29887
530330018001001,30,34132
530330018001002,30,29317
530330018001003,30,34414
530330018001004,30,29230
530330018001005,30,29827
530330018001006,30,43223
530330018001007,30,49267
530330018001008,30,52800
530330018001009,30,47691
530330018001010,30,37555
530330018001011,30,40278
530330018001012,30,39240
530330018001013,30,63634
530330018001014,30,38200
530330018001015,30,50874
530330018001016,30,50894
530330018001017,30,43418
530330018002000,30,47804
530330018002001,30,47809
530330018002002,30,53445
530330018002003,30,71344
530330018002004,30,67191
530330018002005,30,61117
530330018002006,30,56722
530330018002007,30,56613
530330018002008,30,45200
530330018002009,30,60406
530330018002010,30,75107
530330018002011,30,81613
530330018002012,30,65812
530330018002013,30,59345
530330018002014,30,53865
530330018003000,30,48872
530330018003001,30,78414
530330018003002,30,28979
530330018003003,30,48407
530330018003004,30,31496
530330018003005,30,53066
530330018003006,30,58303
530330018003007,30,40457
530330018003008,30,33565
530330018003009,30,28411
530330018003010,30,69032
530330018003011,30,68958
530330018003012,30,48704
530330018003013,30,41951
530330018003014,30,35964
530330018003015,30,35909
530330019001000,30,45252
530330019001001,30,80040
530330019001002,30,97268
530330019001003,30,102583
530330019001004,30,183068
530330019001005,30,184269
530330019001006,30,149921
530330019001007,30,137975
530330019001008,30,141068
530330019001009,30,98578
530330019001010,30,110938
530330019001011,30,111314
530330019001012,30,34939
530330019001013,30,60070
530330019001014,30,40862
530330019001015,30,100712
530330019001016,30,100748
530330019001017,30,20533
530330019001018,30,24907
530330019001019,30,18414
530330019001020,30,24598
530330019001021,30,36649
530330019001022,30,30538
530330019001023,30,148570
530330019002000,30,36084
530330019002001,30,45869
530330019002002,30,49923
530330019002003,30,39327
530330019002004,30,41517
530330019002005,30,42954
530330019002006,30,44677
530330019002007,30,41515
530330019002008,30,37946
530330019002009,30,42192
530330019002010,30,47545
530330019002011,30,48614
530330019002012,30,53879
530330019002013,30,45945
530330019002014,30,56564
530330019002015,30,60740
530330019002016,30,48525
530330019002017,30,46143
530330019002018,30,50775
530330019002019,30,52339
530330019003000,30,40455
530330019003001,30,38394
530330019003002,30,32063
530330019003003,30,31830
530330019003004,30,31832
530330019003005,30,28649
530330019003006,30,28345
530330019003007,30,30381
530330019003008,30,30740
530330019003009,30,29995
530330019003010,30,34276
530330019003011,30,27087
530330019003012,30,37915
530330019003013,30,42699
530330019003014,30,25624
530330019003015,30,40431
530330019003016,30,35628
530330019003017,30,28837
530330019003018,30,50150
530330019003019,30,41785
530330019003020,30,36755
530330020001000,30,93564
530330020001001,30,94521
530330020001002,30,102796
530330020001003,30,67435
530330020001004,30,99110
530330020001005,30,94686
530330020001006,30,152538
530330020001007,30,113794
530330020001008,30,110338
530330020001009,30,104787
530330020001010,30,114271
530330020001011,30,123508
530330020001012,30,123653
530330020001013,30,119196
530330020001014,30,127427
530330020001015,30,142720
530330020001016,30,144384
530330020001017,30,157150
530330020001018,30,142707
530330020001019,30,138969
530330020001020,30,95537
530330020001022,30,149283
